fold_0,fold_1,fold_2,fold_3,fold_4
num_of_exrahepatic_spread_sites,num_of_exrahepatic_spread_sites,num_of_exrahepatic_spread_sites,num_of_exrahepatic_spread_sites,num_of_exrahepatic_spread_sites
Iscore_v1.5,Iscore_v1.5,Iscore_v1.5,Iscore_v1.5,Iscore_v1.5
cfDNA,cfDNA,cfDNA,cfDNA,cfDNA
FR-score_v1.2,FR-score_v1.2,FR-score_v1.2,FR-score_v1.2,FR-score_v1.2
MDS,MDS,MDS,MDS,MDS
AKAP10_y,AKAP10_y,ANKRD13D_y,OR2B6_x,DEFB107A_y
LINC00929_y,LINC00929_y,MIR6800_y,PRRG2_y,RDH16_y
CHST12_y,CHST12_y,SRRM2-AS1_y,CSNK2A1_x,NAP1L6_y
LINC01189_x,LINC01189_x,HCAR1_x,TMBIM4_y,SGK1_y
UNC93A_y,UNC93A_y,ANKAR_y,DIS3L2_y,MIR622_x
TPST2_y,TPST2_y,DUSP12_y,ADPRHL2_y,CCNC_x
CNGA2_x,CNGA2_x,ZNF511_y,ZNF430_x,FLT1_y
TRNT1_y,TRNT1_y,LINC01144_y,ACY3_y,GPAA1_y
DFNA5_y,DFNA5_y,TCTN1_x,WDR83_x,ABCG1_y
MYO9B_x,MYO9B_x,OR9A2_x,LOC100996385_y,LINC01242_x
PRADC1_y,PRADC1_y,ZBED4_y,AASDH_x,TAF1C_y
TEPSIN_y,TEPSIN_y,IFT52_y,LOC101929622_x,LONP2_y
RNASEH2B_x,RNASEH2B_x,NEK11_y,KEL_y,CYSLTR2_y
FAM83G_x,FAM83G_x,SYNGR1_y,MIR3118-1_y,NDUFB9_y
MIR7851_x,MIR7851_x,SNORA2C_x,PAX9_x,FGF14-AS2_y
SNORD52_y,SNORD52_y,SIMC1_x,MICAL3_y,GOLGA7_y
TMC2_y,TMC2_y,TTC33_y,NPPC_y,AKR1A1_x
MIR363_x,MIR363_x,HOXA10-AS_x,ADAMTS14_x,SREBF1_x
ELFN1-AS1_y,ELFN1-AS1_y,TCEA2_y,SRP68_y,GGT8P_y
LINC00564_x,LINC00564_x,PFKL_x,ZNF777_x,SNORD21_x
MIR219A1_y,MIR219A1_y,ZNF407_x,PRKCQ_y,RPL8_y
TLK2_y,TLK2_y,MYH6_x,SFSWAP_x,CCDC71L_y
ZNF17_y,ZNF17_y,ACP7_x,LOC100129291_y,SNORA71E_x
LOC100505658_y,LOC100505658_y,CRSP8P_y,MIR8064_y,CCND3_y
HIST2H2AC_y,HIST2H2AC_y,C11orf88_y,AGBL4-IT1_x,AURKAPS1_x
CFDP1_y,CFDP1_y,MIR7976_x,RN7SK_x,AIF1_x
IK_y,IK_y,PCGF2_y,LOC102724562_x,SNCG_x
CECR3_x,CECR3_x,NBPF22P_y,LINC01429_y,UMODL1-AS1_y
DDX1_y,DDX1_y,RIPK3_x,FOXP4_y,LINC01206_y
ADGRF2_y,ADGRF2_y,CLDN25_y,MFSD9_x,DVL3_y
AICDA_x,AICDA_x,SMN2_y,EP400_x,SETSIP_x
LOC100996634_x,LOC100996634_x,TMEM215_y,MCM7_y,PVRL3-AS1_y
LOC105376306_x,LOC105376306_x,NEU3_x,LAMA5_y,ABCC4_y
DAOA-AS1_x,DAOA-AS1_x,LOC100996693_y,ZNF681_x,NDRG2_x
JTB_y,JTB_y,PIN4P1_x,TCTN1_y,METTL18_x
TRIM45_y,TRIM45_y,PRPF4_y,,RNF38_y
NOTCH3_y,NOTCH3_y,CDC40_x,,FRG2KP_y
GUF1_y,GUF1_y,DBH-AS1_x,,B4GALT4-AS1_y
C8orf58_y,C8orf58_y,MIR202_x,,SCAMP2_x
LILRB5_y,LILRB5_y,TMCO2_y,,TBATA_y
MIR644A_x,MIR644A_x,VCPKMT_y,,HELT_x
LOC101927604_y,LOC101927604_y,BIRC6_x,,LINC00909_y
LMLN_x,LMLN_x,BLOC1S3_x,,EIF2B2_y
AGMO_y,AGMO_y,SCRN2_y,,LOC102724357_x
ANP32B_x,ANP32B_x,HIST1H1D_x,,LINC01664_x
PEG13_y,PEG13_y,SMYD3_y,,CCDC174_y
CASC8_y,CASC8_y,BPHL_y,,TRHDE_x
IRF5_y,IRF5_y,PLEKHA4_x,,FLJ32255_x
TMEM173_y,TMEM173_y,CNPPD1_x,,DUS3L_x
MIR20B_y,MIR20B_y,UQCRC2_x,,METTL3_x
MIR1244-1_y,MIR1244-1_y,C11orf24_x,,ZNF799_x
PGM5_x,PGM5_x,PARP8_y,,SGTA_y
SRGAP2C_x,SRGAP2C_x,HN1L_x,,LOC100506858_y
PPP5C_y,PPP5C_y,KIF9-AS1_y,,SIAH3_y
DMRT1_y,DMRT1_y,CXCR1_x,,MIR4292_x
SNORA66_x,SNORA66_x,LINC02070_y,,TBC1D25_y
PANK2_x,PANK2_x,ZNF865_x,,CLEC11A_y
DGCR11_x,DGCR11_x,FLJ31356_x,,ANKRD26_x
NOTCH2NL_x,NOTCH2NL_x,CLSTN3_y,,CCDC110_y
NBPF4_x,NBPF4_x,C3orf79_y,,ACBD7_y
ZNF486_x,ZNF486_x,NQO1_y,,LINC00926_y
,KBTBD2_y,MIR4636_y,,LOC101928505_y
,NIM1K_y,MIR4668_x,,BTG1_y
,HPYR1_x,FANCC_x,,OCIAD1_y
,GOPC_y,ABAT_y,,ZSWIM2_x
,MSLN_y,LOC339666_x,,MFSD8_y
,C7orf49_y,BPIFA4P_y,,FGF4_x
,CERKL_y,MRPS31_x,,PLIN5_y
,LOC101929297_x,NUS1_y,,OR2A12_y
,ORMDL1_y,SNORD115-46_y,,VAMP4_x
,LINC01151_y,LRRC30_y,,PAGE3_x
,LOC441454_y,MIR8065_x,,AP1B1P1_y
,ALKBH1_y,SNORD109B_x,,AHCY_y
,LINC02148_x,OR2T8_y,,FRS2_x
,DNAJA2_x,CBWD5_x,,DAZAP1_y
,LINC01479_x,DOK1_y,,GSN-AS1_x
,FBF1_y,CCDC43_y,,PPP1R15B_y
,MIR3613_x,,,ADGRE2_y
,PPP1R35_y,,,LINC01586_x
,MIR3193_x,,,OR9A2_x
,OR9A2_x,,,CDYL_y
,TSPAN31_x,,,SEPT5-GP1BB_x
,OR4K13_x,,,NIM1K_x
,GIMAP8_y,,,MS4A4A_y
,GS1-124K5.11_y,,,LOC153910_y
,FLJ34503_x,,,GLS_x
,MIR7161_x,,,ZNF146_y
,CHST15_x,,,LOC101927314_x
,GTF2IP12_x,,,ATP5S_x
,AKAP11_y,,,CXorf57_y
,COQ4_x,,,PAQR9_y
,NPY5R_x,,,CATSPER2P1_y
,OR1F1_x,,,LOC100506207_y
,AQP10_y,,,SNORA71B_x
,PIP_y,,,GREB1_y
,MTMR10_y,,,
,LOC101928865_y,,,
,EIF3J-AS1_x,,,
,MIR4443_x,,,
,TREML5P_y,,,
,RPL41_x,,,
,LINC01012_y,,,
,UBE2N_y,,,
,LOC101929726_x,,,
,ARIH2_y,,,
,MAEA_y,,,
,LMBRD1_x,,,
,R3HDM4_x,,,
,BARX1-AS1_x,,,
,WWP2_y,,,
,LINC01907_x,,,
,SLCO1B1_y,,,
,IFI16_x,,,
,PRDM15_y,,,
,MIR486-2_x,,,
,SP2_y,,,
,PSPN_y,,,
,HIVEP1_y,,,
,LTBP2_y,,,
,RAB9A_y,,,
,FAM72C_x,,,
,PHF10_y,,,
,TEPP_x,,,
,ASB8_y,,,
